Date,close
2015011621:10:00,254.4
2015011621:15:00,254.56
2015011621:20:00,254.42
2015011621:25:00,255.42
2015011621:30:00,255.22
2015011621:35:00,254.96
2015011621:40:00,255
2015011621:45:00,255
2015011621:50:00,255.22
2015011621:55:00,255.06
2015011622:00:00,255.06
2015011622:05:00,255.1
2015011622:10:00,255.2
2015011622:15:00,255.56
2015011622:20:00,255.42
2015011622:25:00,255.16
2015011622:30:00,255.26
2015011622:35:00,255.72
2015011622:40:00,255.46
2015011622:45:00,255.56
2015011622:50:00,256.16
2015011622:55:00,256.3
2015011623:00:00,256.6
2015011623:05:00,257
2015011623:10:00,257.3
2015011623:15:00,257.3
2015011623:20:00,256.96
2015011623:25:00,256.86
2015011623:30:00,256.64
2015011623:35:00,256.96
2015011623:40:00,257.02
2015011623:45:00,256.94
2015011623:50:00,257.06
2015011623:55:00,256.8
2015011900:00:00,256.96
2015011900:05:00,256.64
2015011900:10:00,256.76
2015011900:15:00,257.06
2015011900:20:00,257.12
2015011900:25:00,257.44
2015011900:30:00,257.56
2015011900:35:00,258.2
2015011900:40:00,258.24
2015011900:45:00,258.06
2015011900:50:00,258.2
2015011900:55:00,258.4
2015011901:00:00,258.14
2015011901:05:00,258.16
2015011901:10:00,258.1
2015011901:15:00,258
2015011901:20:00,258.16
2015011901:25:00,258.16
2015011901:30:00,257.96
2015011901:35:00,257.9
2015011901:40:00,258.1
2015011901:45:00,257.96
2015011901:50:00,257.8
2015011901:55:00,257.86
2015011902:00:00,257.8
2015011902:05:00,257.64
2015011902:10:00,257.62
2015011902:15:00,257.12
2015011902:20:00,257.2
2015011902:25:00,257.16
2015011902:30:00,257.74
2015011909:05:00,257.76
